r,theta,mu,nu,residual
4.769999999999999574e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164718671464076039e+01
4.750000000000000000e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164640948806178145e+01
4.809999999999999609e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164627705487097842e+01
4.759999999999999787e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164482162530179821e+01
4.849999999999999645e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164097967711234816e+01
4.780000000000000249e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.164050456492102015e+01
4.740000000000000213e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163819829862279320e+01
4.750000000000000000e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163365277942257237e+01
4.740000000000000213e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163351543192140269e+01
4.860000000000000320e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163350073511892546e+01
4.809999999999999609e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163280690154667241e+01
4.780000000000000249e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163151784151081358e+01
4.860000000000000320e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.163070732768713711e+01
4.799999999999999822e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.162854952043147705e+01
4.740000000000000213e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.162843823661773968e+01
4.839999999999999858e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.162597488581826966e+01
4.790000000000000036e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.162453251839022883e+01
4.849999999999999645e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.162394026240504630e+01
4.860000000000000320e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161940956304072969e+01
4.830000000000000071e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161662092307414085e+01
4.740000000000000213e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161392364169335423e+01
4.750000000000000000e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161368817569645628e+01
4.839999999999999858e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161119943385034503e+01
4.759999999999999787e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161119647935891663e+01
4.830000000000000071e+00,1.237787505514378550e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161056022946139876e+01
4.860000000000000320e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.161052770072823748e+01
4.740000000000000213e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.160471255235835741e+01
4.849999999999999645e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.160407685959149404e+01
4.790000000000000036e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.160367304927186538e+01
4.820000000000000284e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.160239720652019457e+01
4.729999999999999538e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159969154523996338e+01
4.799999999999999822e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159902963362794637e+01
4.729999999999999538e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159899919534829849e+01
4.769999999999999574e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159725166884955527e+01
4.759999999999999787e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159655201620937248e+01
4.870000000000000107e+00,1.200088393671300935e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159615640305947792e+01
4.820000000000000284e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159587832192307744e+01
4.750000000000000000e+00,1.225221134900019493e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159220178355763053e+01
4.769999999999999574e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.159177693200988557e+01
4.870000000000000107e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158926222439447784e+01
4.860000000000000320e+00,1.218937949592839853e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158895347854588209e+01
4.809999999999999609e+00,1.250353876128737829e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158694649757613604e+01
4.729999999999999538e+00,1.244070690821558189e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158587686595832977e+01
4.870000000000000107e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158575842862066807e+01
4.729999999999999538e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.158426617448395390e+01
4.740000000000000213e+00,1.231504320207198910e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.157897005382428901e+01
4.780000000000000249e+00,1.206371578978480574e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.157763357701114870e+01
4.849999999999999645e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.157603115556653606e+01
4.860000000000000320e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.157248054636423262e+01
4.780000000000000249e+00,1.262920246743096886e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.157187869283182380e+01
4.839999999999999858e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156821392871960796e+01
4.750000000000000000e+00,1.269203432050276525e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156758213075452701e+01
4.740000000000000213e+00,1.269203432050276525e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156750811159835024e+01
4.870000000000000107e+00,1.212654764285660214e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156559000268753579e+01
4.799999999999999822e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156444169696230517e+01
4.809999999999999609e+00,1.193805208364121517e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.156375762517372507e+01
4.719999999999999751e+00,1.256637061435917246e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.155810838013187336e+01
4.870000000000000107e+00,1.187522023056941878e+00,1.000000000000000021e-02,1.000000000000000021e-02,3.155757384436717317e+01
