r,theta,mu,nu,residual
1.560000000000000053e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150635042934626284e+01
1.479999999999999982e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150421533279288155e+01
1.570000000000000062e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150404843262486665e+01
1.590000000000000080e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150342492207532175e+01
1.510000000000000009e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150232836892751109e+01
1.489999999999999991e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150225677621251208e+01
1.560000000000000053e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149889854639315701e+01
1.550000000000000044e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149870927135503607e+01
1.500000000000000000e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149617246930599279e+01
1.469999999999999973e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149579802411037122e+01
1.550000000000000044e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149453795670180156e+01
1.590000000000000080e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149392025767111036e+01
1.570000000000000062e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149370288351939351e+01
1.469999999999999973e+00,5.636017220540089134e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149295885806482431e+01
1.510000000000000009e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149231305775132128e+01
1.580000000000000071e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.149166309755583981e+01
1.489999999999999991e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148986234035512410e+01
1.469999999999999973e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148897431152804671e+01
1.479999999999999982e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148557649761068689e+01
1.520000000000000018e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148543844234643885e+01
1.590000000000000080e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148462920436978507e+01
1.540000000000000036e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148127132193573274e+01
1.540000000000000036e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148060533366690450e+01
1.469999999999999973e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.148038196494967167e+01
1.580000000000000071e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.147897412761850333e+01
1.520000000000000018e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.147830777883330100e+01
1.479999999999999982e+00,5.610884479311370576e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.147336733726747582e+01
1.469999999999999973e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.147257118765792683e+01
1.590000000000000080e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.146906097673350544e+01
1.600000000000000089e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.146320046926719982e+01
1.600000000000000089e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.146026219289117876e+01
1.489999999999999991e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145881529313710701e+01
1.500000000000000000e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145860300493226092e+01
1.469999999999999973e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145800132026037232e+01
1.570000000000000062e+00,5.629734035232909939e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145764615415877685e+01
1.530000000000000027e+00,5.686282702997526250e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145709231570312880e+01
1.600000000000000089e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.145512279401162203e+01
