r,theta,mu,nu,residual
1.580000000000000071e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153704538517994038e+01
1.520000000000000018e+00,5.673716332383166971e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153635786211237857e+01
1.489999999999999991e+00,5.654866776461627609e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153555821703704254e+01
1.540000000000000036e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153330806857121260e+01
1.570000000000000062e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153286443741461298e+01
1.540000000000000036e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153267481176219533e+01
1.479999999999999982e+00,5.642300405847269218e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.153113757667146899e+01
1.520000000000000018e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.152933885710083572e+01
1.489999999999999991e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.152570720932982340e+01
1.479999999999999982e+00,5.623450849925729855e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.152550868454868294e+01
1.580000000000000071e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.152219909971482181e+01
1.530000000000000027e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.151419522053843991e+01
1.580000000000000071e+00,5.679999517690346167e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.151352042370228546e+01
1.479999999999999982e+00,5.648583591154448413e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.151333234308109610e+01
1.590000000000000080e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.151118956168579999e+01
1.530000000000000027e+00,5.617167664618550660e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.151033279292968814e+01
1.590000000000000080e+00,5.661149961768807692e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150799402751854572e+01
1.500000000000000000e+00,5.667433147075986888e+00,1.000000000000000021e-02,1.000000000000000021e-02,-3.150788905827702635e+01
